,Lb_name,Lb_adress2,Lb_longitude,Lb_latitude,Cr_name,Cr_adress2,Cr_longitude,Cr_latitude,great-circle distance,haversine distance,walking_distance_in_m,walking_distance_in_km,walking_time_in_s,walking_time_in_min,car_distance_in_m,car_distance_in_km,car_time_in_s,car_time_in_min
7796,Ladbrokes L3860,"113/115 Edgware Road  ,London  ,  ,LONDON  ,W2 2HX",-0.16476,51.51597,C3004,"214 Edgware Road  ,London  ,  ,LONDON  ,W2 1DH",-0.1676879,51.5186075,356,0.356448793,424,0.4 km,360,6 mins,932,0.9 km,317,5 mins
7798,Ladbrokes L3860,"113/115 Edgware Road  ,London  ,  ,LONDON  ,W2 2HX",-0.16476,51.51597,C1752,"7-9 Praed Street  ,London  ,  ,LONDON  ,W2 1NJ",-0.1695395,51.5187528,453,0.45290254,604,0.6 km,466,8 mins,748,0.7 km,242,4 mins
14471,Ladbrokes L1111,"13 London Street  ,London  ,  ,LONDON  ,W2 1HL",-0.174378,51.5152994,C2308,"Unit A  ,Fountain House  ,  ,LONDON  ,EC3M 5DJ",-0.1762218,51.5117892,411,0.41064192,515,0.5 km,390,7 mins,1126,1.1 km,283,5 mins
16692,Ladbrokes L2400,"382 Edgware Road  ,London  ,  ,LONDON  ,W2 1EB",-0.1723658,51.5218201,C3004,"214 Edgware Road  ,London  ,  ,LONDON  ,W2 1DH",-0.1676879,51.5186075,482,0.482045455,480,0.5 km,375,6 mins,480,0.5 km,182,3 mins
16694,Ladbrokes L2400,"382 Edgware Road  ,London  ,  ,LONDON  ,W2 1EB",-0.1723658,51.5218201,C1752,"7-9 Praed Street  ,London  ,  ,LONDON  ,W2 1NJ",-0.1695395,51.5187528,393,0.393151404,432,0.4 km,367,6 mins,658,0.7 km,224,4 mins
16700,Ladbrokes L2400,"382 Edgware Road  ,London  ,  ,LONDON  ,W2 1EB",-0.1723658,51.5218201,C1758,"395 Edgware Road  ,London  ,  ,LONDON  ,W2 1BT",-0.1747882,51.5230601,217,0.217025991,220,0.2 km,180,3 mins,220,0.2 km,46,1 min
21145,Ladbrokes L3008,"76 Aldgate High Street  ,London  ,  ,LONDON  ,EC3N 1BD",-0.0756255,51.5137617,C1974,"65/68 Leadenhall St & 98 Fenchurch Street  ,entrance in Hartshorn Alley  ,  ,LONDON  ,EC3A 2AD",-0.078488,51.5130752,212,0.212285118,208,0.2 km,163,3 mins,203,0.2 km,48,1 min
26709,Ladbrokes L1775,"113-115 Gloucester Road  ,London  ,  ,LONDON  ,SW7 4ST",-0.1818769,51.4936281,C3057,"71 Old Brompton Road  ,London  ,  ,LONDON  ,SW7 3JS",-0.176577,51.492828,378,0.377548589,557,0.6 km,439,7 mins,588,0.6 km,146,2 mins
37836,Ladbrokes L2207,"6 Martha Street  ,London  ,  ,LONDON  ,E1 2ER",-0.0558274,51.5120011,C1769,"6 Cavell Street  ,Tower Hamlets  ,  ,LONDON  ,E1 2HP",-0.0569112,51.5147731,317,0.317225972,478,0.5 km,379,6 mins,682,0.7 km,180,3 mins
97901,Ladbrokes L2459,"31 Golders Green Road  ,London  ,  ,LONDON  ,NW11 8EE",-0.197256,51.5719871,C1733,"28 Golders Green Road  ,London  ,  ,LONDON  ,NW11 8LL",-0.1971808,51.5724052,47,0.046780252,158,0.2 km,125,2 mins,612,0.6 km,163,3 mins
